ref	s1	e1	ali	s2	e2	bundle_size	direction	telo1	telo2
1	16708	748075	1	12277	732694	1	46	4437	NA
1	748565	1633259	1	742809	1653665	1	95	NA	NA
1	1636570	1675801	1	1680229	1718701	1	6	NA	NA
1	1683048	1687356	1	1719163	1723482	1	1	NA	NA
1	1697739	1809090	1	1736391	1848743	1	19	NA	NA
1	1821079	2139950	1	1858729	2181486	1	17	NA	NA
1	2155692	2306828	1	2185659	2336519	1	4	NA	NA
1	2306957	2322062	1	2357439	2372505	1	4	NA	NA
1	2322405	3083455	1	2390885	3151759	1	37	NA	NA
1	3093518	3156032	1	3152079	3212339	1	7	NA	NA
1	3157945	3159121	1	4451393	4452571	1	1	NA	NA
1	3190380	3203196	1	3228008	3240256	1	2	NA	NA
1	3216017	3332262	1	3286862	3402161	1	6	NA	NA
1	3332274	3484435	1	3414717	3566308	1	9	NA	NA
1	3487208	3902013	1	3593406	3992862	1	28	NA	NA
1	3916550	4356382	1	4002012	4444530	1	28	NA	NA
1	4362376	6253483	1	4469656	6375311	1	97	NA	NA
1	6256456	6317401	1	6403508	6468904	1	7	NA	NA
1	6323566	6325412	1	6490687	6492530	1	1	NA	NA
1	6328945	6335626	1	6505575	6512295	1	1	NA	NA
1	6339887	6385134	1	6549741	6593109	1	7	NA	NA
1	6386233	6398648	1	6647024	6659539	1	3	NA	NA
1	6410439	6441728	1	6664939	6694825	1	4	NA	NA
1	6442617	6563730	1	6722111	6834377	1	14	NA	NA
1	6563771	7075373	1	6850247	7353499	1	64	NA	NA
1	7109176	7187802	1	7378108	7457427	1	7	NA	NA
1	7195078	7200381	1	7354514	7361818	1	3	NA	NA
1	7204939	7313539	1	7462914	7573174	1	10	NA	NA
1	7313940	7599433	1	7592620	7870537	1	19	NA	NA
1	1678882	1682586	2	533175	529473	-1	1	NA	NA
1	3184213	3185538	2	2923971	2922620	-1	1	NA	NA
1	7094361	7103256	2	1830046	1838944	1	1	NA	NA
1	3170286	3177069	4	3666529	3659745	-1	1	NA	NA
1	3090802	3092021	5	3090123	3091363	1	1	NA	NA
1	3210377	3212373	6	1449979	1447970	-1	1	NA	NA
1	6522	7543	7	1362541	1361520	-1	1	NA	NA
1	7077135	7080247	7	1376944	1373875	-1	1	NA	NA
1	2305	6459	8	449674	445567	-1	1	NA	NA
1	2141170	2151080	8	289516	299431	1	1	NA	NA
1	3204518	3205673	8	3251493	3252652	1	1	NA	NA
1	7080993	7083043	9	3933136	3935176	1	1	NA	NA
1	9587	13671	10	1346289	1350375	1	1	NA	NA
1	7600589	7601839	13	267509	266257	-1	1	NA	NA
1	14056	15798	14	30939	32677	1	1	NA	NA
2	2967239	2973720	1	3241372	3228015	-1	2	NA	NA
2	3000359	3005236	1	3286686	3274436	-1	2	NA	NA
2	3006706	3008034	1	6517429	6516141	-1	1	NA	NA
2	3019161	3022303	1	3225472	3222283	-1	1	NA	NA
2	3022750	3023890	1	3286686	3285529	-1	1	NA	NA
2	5730251	5732114	1	6742013	6740152	-1	1	NA	NA
2	352	121504	2	2549	124624	1	10	-2192	NA
2	143627	238358	2	127171	226702	1	8	NA	NA
2	273129	473270	2	227010	420119	1	17	NA	NA
2	489756	506240	2	420731	433973	1	2	NA	NA
2	516479	560859	2	439893	483865	1	6	NA	NA
2	574340	591110	2	485132	499423	1	3	NA	NA
2	594253	596336	2	526761	528842	1	1	NA	NA
2	596988	661035	2	542569	607110	1	7	NA	NA
2	677655	820036	2	607910	756744	1	12	NA	NA
2	830739	968701	2	762258	890497	1	11	NA	NA
2	987737	1559407	2	913803	1482093	1	29	NA	NA
2	1570069	1889300	2	1489693	1806338	1	37	NA	NA
2	1900904	1908548	2	1852393	1860010	1	1	NA	NA
2	1918122	1977286	2	1870025	1926488	1	7	NA	NA
2	1978349	1980215	2	5773695	5775561	1	1	NA	NA
2	1980265	2830567	2	1927615	2777825	1	55	NA	NA
2	2844286	2962899	2	2777833	2894691	1	7	NA	NA
2	3434049	4752556	2	3503027	4832116	1	68	NA	NA
2	4754077	4760574	2	4866532	4872960	1	2	NA	NA
2	4763914	4790090	2	4836851	4854979	1	2	NA	NA
2	4794745	4885708	2	4873070	4960563	1	10	NA	NA
2	4889949	5057285	2	5004190	5175018	1	18	NA	NA
2	5057298	5181094	2	5190836	5307717	1	12	NA	NA
2	5181339	5191625	2	5319099	5329391	1	1	NA	NA
2	5196785	5713283	2	5355256	5853551	1	53	NA	NA
2	5716548	5729548	2	5895996	5908928	1	2	NA	NA
2	5740525	5769436	2	5856493	5885516	1	3	NA	NA
2	5776656	6032537	2	5913076	6170331	1	20	NA	NA
2	6032673	6035935	2	6186254	6189519	1	1	NA	NA
2	6150484	6269115	2	6328724	6454419	1	13	NA	NA
2	6277389	6280424	2	6466369	6469387	1	1	NA	NA
2	6282444	6358974	2	6489220	6564809	1	5	NA	NA
2	6361808	6369193	2	6585453	6592851	1	2	NA	NA
2	6369233	6440899	2	6624987	6694918	1	7	NA	NA
2	6498740	6528996	2	6699707	6732899	1	6	NA	NA
2	6531038	6947860	2	6744356	7163059	1	25	NA	NA
2	7046519	7050962	2	7254264	7258697	1	1	NA	NA
2	140029	142237	4	788534	790751	1	1	NA	NA
2	2981246	2983256	4	3664245	3666254	1	1	NA	NA
2	1897216	1900188	5	1096392	1093417	-1	1	NA	NA
2	2831158	2832183	5	3195938	3194906	-1	1	NA	NA
2	2976307	2977453	5	4598146	4597001	-1	1	NA	NA
